HDR|08|2019
intor00000154171685|ioreg00000154171685|MKCHR|100.0
intor00000154239966|ioreg00000154239966|SACSB|50.0
intor00000153402785|ioreg00000153402785|IDAIF|50.0
intor00000157534924|ioreg00000157534924|SANRX|50.0
intor00000150796944|ioreg00000150796944|PXCAL|100.0
intor00000154168212|ioreg00000154168212|BOIDT|100.0
intor00000155616122|ioreg00000155616122|YYZHX|150.0
intor00000156371810|ioreg00000156371810|SEAAB|60.0
intor00000153747515|ioreg00000153747515|CRTFL|100.0
intor00000152391091|ioreg00000152391091|GONCB|50.0
intor00000156017294|ioreg00000156017294|ANCAA|100.0
intor00000148245252|ioreg00000148245252|ATLST|50.0
intor00000153661203|ioreg00000153661203|OMABS|100.0
intor00000156079400|ioreg00000156079400|VANIL|30.0
intor00000154273437|ioreg00000154273437|ZYLMB|100.0
intor00000157439538|ioreg00000157439538|CHSCC|100.0
intor00000154239646|ioreg00000154239646|WTVLL|100.0
intor00000148011155|ioreg00000148011155|MKOCS|100.0
intor00000155861070|ioreg00000155861070|CHIOK|100.0
intor00000151567091|ioreg00000151567091|XTYCR|100.0
intor00000156369332|ioreg00000156369332|SEBRK|30.0
intor00000156513592|ioreg00000156513592|NYCAV|30.0
intor00000154248950|ioreg00000154248950|CHIAU|150.0
intor00000157697443|ioreg00000157697443|SATPO|100.0
intor00000155605347|ioreg00000155605347|MCKTX|100.0
intor00000157173953|ioreg00000157173953|CHINL|50.0
intor00000149682502|ioreg00000149682502|COUVO|100.0
intor00000156254285|ioreg00000156254285|CKVTN|100.0
intor00000154457998|ioreg00000154457998|MOBTL|100.0
intor00000155598474|ioreg00000155598474|CCNCH|50.0
intor00000155598466|ioreg00000155598466|SCLAP|100.0
intor00000154576772|ioreg00000154576772|TOPGN|100.0
intor00000150451545|ioreg00000150451545|MSYOF|100.0
intor00000148649984|ioreg00000148649984|ROCBA|100.0
intor00000155260293|ioreg00000155260293|WASRM|50.0
intor00000156260317|ioreg00000156260317|LIMMP|30.0
intor00000152613461|ioreg00000152613461|YULCC|100.0
